,0,1,2,3,4
0,0.010657212696969509,0.0012222772929817438,-0.004589516669511795,-0.024568069726228714,0.04632549732923508
1,-0.004471573978662491,0.001225944608449936,-0.0025223877746611834,-0.025389736518263817,0.05227724090218544
2,-0.005153844133019447,0.0012264963006600738,-0.0025398707948625088,-0.021509969606995583,0.05181329697370529
3,-0.013072725385427475,0.0009631045977585018,-0.0022924102377146482,-0.021067405119538307,0.04951214790344238
4,0.0035605442244559526,0.0016510289860889316,-0.0020014578476548195,0.056838858872652054,0.05367904156446457
5,0.0058148992247879505,0.0013163614785298705,-0.003092661267146468,-0.02078508399426937,-0.042669717222452164
6,0.008983349427580833,0.001930957194417715,-0.005149564240127802,-0.02635389380156994,-0.04264213517308235
7,-0.0008996786782518029,0.0008767519611865282,-0.004073732532560825,-0.018696479499340057,-0.04123242199420929
8,0.0075401258654892445,0.001643334748223424,0.047121334820985794,0.05662749335169792,0.047393862158060074
9,-0.002627389505505562,0.0014016421046108007,-0.005297397263348103,0.054495152086019516,-0.04145253822207451
10,0.006182300392538309,0.0011414692271500826,-0.0033097087871283293,-0.01953103020787239,-0.03541877493262291
11,-0.025293033570051193,-0.01619483344256878,-0.003331551793962717,0.05864403396844864,-0.03951791673898697
12,0.006672258954495192,0.0008778016199357808,-0.005924559663981199,-0.027181224897503853,-0.04220236837863922
0,-0.00032910401932895184,0.000994339119642973,-0.0003746371658053249,-0.000504697673022747,0.003057610709220171
1,0.0003911049570888281,0.0010695032542571425,-0.0004603683191817254,0.0026533445343375206,0.003288481617346406
2,0.0006544026546180248,0.001045868149958551,-0.0004619961546268314,-0.00053809565724805,-0.003461031708866358
3,-2.9335336876101792e-05,0.0012489748187363148,-0.00046116235898807645,-0.000569832744076848,0.002990258391946554
4,0.00027031314675696194,0.001300998730584979,-0.00046204146929085255,-0.00037513478309847414,-0.003831347916275263
5,-0.0003226105764042586,-0.003926393110305071,-0.00040380071732215583,-0.0005053685745224357,0.003126914845779538
6,0.0005006369319744408,0.0010204126592725515,-0.00046208538697101176,-0.0004075910255778581,-0.003730090567842126
7,0.00020480420789681375,-0.0038744795601814985,-0.0006347979069687426,-0.00045627346844412386,0.0026558733079582453
8,0.0003755086218006909,0.0011989932972937822,-0.00023100485850591213,-0.0005707876989617944,-0.003226175904273987
9,0.00014364275557454675,0.0011476848740130663,-0.0005191842210479081,0.00277246767655015,-0.003593589412048459
10,0.00030829868046566844,0.0011989512713626027,-0.00034639917430467904,-0.0005217677098698914,-0.0036963988095521927
11,-0.001446777256205678,0.0009933944093063474,0.005364939570426941,-0.0006016335100866854,0.0031208787113428116
12,-0.0007797705475240946,-0.004003204870969057,-0.0003463899774942547,-0.0005868904408998787,0.0031269537284970284
0,-0.020184068009257317,0.045871783047914505,-0.04128001630306244,-0.029408710077404976,0.07476522773504257
1,-0.006044364999979734,0.04773692786693573,-0.03670467063784599,0.0746711939573288,0.07806414365768433
2,0.01151722390204668,0.05443781241774559,0.09873445332050323,-0.03208915516734123,-0.15699099004268646
3,-0.006856110878288746,0.05591267719864845,-0.053495265543460846,-0.03675532713532448,-0.1551790088415146
4,-0.00020319125906098634,0.06797973066568375,0.10013368725776672,-0.041250452399253845,-0.1669692099094391
5,0.00776303093880415,0.059706687927246094,-0.03943489491939545,-0.037194523960351944,-0.15946641564369202
6,0.027068639174103737,0.05184656009078026,-0.033246807754039764,-0.031237341463565826,0.07065890729427338
7,-0.05281166732311249,-0.10986954718828201,-0.04303879290819168,0.07669579982757568,0.06450354307889938
8,0.020143914967775345,0.060730185359716415,0.08969715237617493,-0.036927711218595505,0.060468077659606934
9,-0.004135568626224995,0.05492709204554558,-0.03681277856230736,-0.032829977571964264,0.05593849718570709
10,0.011360700242221355,-0.10415232926607132,-0.044042959809303284,-0.03970468416810036,0.06013721600174904
11,0.024687476456165314,-0.12006865441799164,0.09817716479301453,0.0773579478263855,0.07248135656118393
12,-0.0075473785400390625,-0.11240649223327637,-0.0387033112347126,0.0803399458527565,0.06319405883550644
0,-0.011471973732113838,0.027653338387608528,-0.037803955376148224,0.22836719453334808,0.3300005793571472
1,-0.13192884624004364,0.02145366184413433,-0.07559171319007874,-0.01985369436442852,0.32239705324172974
2,-0.09510033577680588,0.037277430295944214,-0.06650959700345993,-0.016603855416178703,0.300363689661026
3,0.04176800325512886,0.015251299366354942,-0.06842625141143799,-0.023171808570623398,-0.36284011602401733
4,0.024949489161372185,0.019239885732531548,-0.04907446354627609,-0.02970196306705475,0.29169461131095886
5,0.021703479811549187,0.03037448413670063,-0.043367963284254074,-0.023630380630493164,-0.37587040662765503
6,-0.012672900222241879,-0.3246949315071106,-0.08344332873821259,-0.02822411246597767,0.2978229224681854
7,0.059220582246780396,0.03207430988550186,-0.0685051754117012,-0.01811407506465912,-0.3856743276119232
8,0.06846688687801361,0.029657091945409775,-0.0500791110098362,-0.015639569610357285,-0.3209674060344696
9,0.009921666234731674,0.023189231753349304,-0.04919133707880974,-0.030354637652635574,0.3198689818382263
10,-0.06754569709300995,0.023047490045428276,-0.06334338337182999,-0.018598848953843117,0.30885639786720276
11,0.08471065759658813,0.02273179590702057,0.6460940837860107,-0.023230746388435364,-0.3372889459133148
12,0.005386192351579666,0.030390039086341858,-0.029240665957331657,-0.01793411374092102,-0.4032008647918701
0,-0.001662436407059431,-0.1081375703215599,-0.01919301599264145,-0.027446769177913666,0.11738315224647522
1,0.01678367704153061,0.033450864255428314,-0.01988052763044834,-0.031548142433166504,-0.1899465173482895
2,-0.02566094696521759,0.03223931044340134,-0.024045687168836594,-0.03350573778152466,0.14647874236106873
3,-0.011753790080547333,0.03533472865819931,-0.019818337634205818,0.09668287634849548,-0.18460865318775177
4,-0.02364455536007881,0.028221867978572845,-0.01972980424761772,-0.02483571134507656,0.1273205280303955
5,0.011745458468794823,-0.1058100238442421,-0.02027314342558384,0.09651612490415573,0.12099796533584595
6,0.007045499514788389,-0.10442430526018143,0.11055206507444382,0.09295691549777985,-0.18462678790092468
7,3.604943412938155e-05,0.030139338225126266,-0.017975956201553345,-0.02719305455684662,-0.18706122040748596
8,-0.023792076855897903,0.038889940828084946,0.1079694852232933,-0.028309883549809456,-0.20372961461544037
9,0.018905414268374443,0.028117986395955086,-0.017127206549048424,-0.02227005921304226,0.1045132651925087
10,-0.010504100471735,0.025952178984880447,-0.021268339827656746,-0.027856409549713135,0.11641856282949448
11,0.02168221026659012,0.02892458625137806,-0.019549818709492683,-0.022954849526286125,0.1253896951675415
12,0.009166395291686058,0.027577603235840797,-0.01709258370101452,-0.025365402922034264,0.12252892553806305
